id,text,retweet_count,reply_count,like_count,quote_count
1587940527814868992,RT @OttawaNewsPulse: CTV News Ottawa → One seriously injured in Highway 417 crash southeast of Ottawa https://t.co/BGTuCgreq1 @OttawaNewsPu…,1,0,0,0
1587939629226987522,"Labrador has a system for a hwy with no people or cell reception in which folk can borrow satellite phone for the trip (pick it up and one end, drop it off at the other), for emergencies. 

Maybe Que should do this here:  https://t.co/F8JtGxpdNU",0,0,0,0
1587938103565557760,Crash reported NB Pat Bay Highway between East Saanich Road and Island View Road. #yyjtraffic https://t.co/1SA5LntANO,0,0,1,0
1587938098171695104,RT @imp_girl13: oh my good god...I just watched a man on a motorcycle WITH NO HELMET take a turn on the highway too fast cut me off and cra…,1,0,0,0
1587935297030995972,Traffic crash reported at State Highway 14 near Macedonia Road . Use alternate routes. https://t.co/YE7vVA0f9Y,0,0,0,0
1587935125878218753,California Highway Patrol has identified a man who was hit and killed on Highway 1 south of Freedom Boulevard Thursday. https://t.co/Hlfn9Xae39,0,0,0,0
1587935083071082496,"The Burton Fire District reported a two-vehicle collision on Savannah Highway that left one driver with minor injuries.
https://t.co/77TJ0d7CIw",0,0,0,0
1587933878831964162,"@RobLattu @DavidLarter @MattressMack ah yes, texas can be traitors when they drive on the road. but mack is a terrorist when he sinks 500K into and election denial candidate who wants to ""clean "" the voter rolls of tx https://t.co/8lpxYBZeKZ",0,1,0,0
1587932111948111872,"RT @10TampaBay: TRAFFIC ALERT: All northbound lanes on Interstate 75 at Gibsonton Drive are closed because of a deadly crash, according to…",2,0,0,0
1587931976870551552,RT @blogTO: Terrifying truck crash on Toronto's Highway 401 was all caught on video https://t.co/a5cpKqm3EP #Toronto #HWY401,2,0,0,0
1587931622363447297,https://t.co/JNRYV8cZyZ,0,0,0,0
1587931347607166976,The Benton County Sheriff's Office has issued a traffic alert for Highway 99 south of Corvallis. A crash near Eureka Road has reduced traffic to one lane as officials work to clean up the scene.,0,0,1,0
1587929017222541314,"Two people killed in a crash late Tuesday night in Mojave on Highway 14 have been identified by authorities.
https://t.co/WvGAKfC6nX",0,0,1,0
1587928847189954560,"RT @10TampaBay: TRAFFIC ALERT: All northbound lanes on Interstate 75 at Gibsonton Drive are closed because of a deadly crash, according to…",2,0,0,0
1587928486701780993,"TRAFFIC ALERT: All northbound lanes on Interstate 75 at Gibsonton Drive are closed because of a deadly crash, according to the Florida Highway Patrol. https://t.co/SHCiFecdeb",2,0,2,0
1587928411929862144,"Yikes.  major crash on #hwy144.  
https://t.co/S1TACgxdPD

Not 100% sure but pretty sure this pic is of the same crash. https://t.co/DoKPZsppc0",0,0,1,0
1587928249145110529,"Stuck without cell service, car crash victims wait for an hour on remote highway | CBC News https://t.co/OzErlZ0rs7",0,0,0,0
1587927531092590592,Terrifying truck crash on Toronto's Highway 401 was all caught on video https://t.co/a5cpKqm3EP #Toronto #HWY401,2,1,2,0
1587926551555080193,"RT @KUTV2News: BREAKING: Authorities responding to a crash on I-15 in Murray found a deceased individual who had been shot, according to th…",1,0,0,0
1587926309937721344,"RT @SantaMariaTimes: A 6-year-old boy died and his 2-year-old brother and his mother, all of Santa Maria, were seriously injured Tuesday ni…",1,0,0,0
1587925942814515200,RT @KBTXRusty: 🔴JUST IN: A Bryan man has been sentenced to 45 years for causing a deadly head-on collision that killed another driver on Hi…,4,0,0,0
1587925805140967424,"A 6-year-old boy died and his 2-year-old brother and his mother, all of Santa Maria, were seriously injured Tuesday night when their pickup lost control and plunged into a ravine on Highway 101 near Gaviota, the Buellton Area Office of the Californi… https://t.co/y1BqXWJx8K",1,0,0,0
1587925799767711746,"A 6-year-old boy died and his 2-year-old brother and his mother, all of Santa Maria, were seriously injured Tuesday night when their pickup lost control and plunged into a ravine on Highway 101 near Gaviota, the Buellton Area Office of the Californi… https://t.co/EfWQkPfPE0",0,0,0,0
